Variant,copper_per_FW_ROOT,copper_per_DW_ROOT,copper_per_DWCW_ROOT
Tr Gln 5 mM,1.039896012950525,17.495323257006397,39.710648915596074
Tr Gln 5 mM,0.9689680363654471,16.302023289637106,36.19006603013206
Tr Gln 5 mM,0.8773213384409598,14.760149308337011,35.80164987321499
10 mkM,1.4264913614146193,25.343811732093137,NA
10 mkM,1.0948169443486475,19.451105887638683,NA
10 mkM,1.030240462676958,18.303805428570165,NA
50 mkM,4.842735863115606,86.038646502104,NA
50 mkM,4.613532654422389,81.96649918552158,NA
50 mkM,4.621296081260752,82.10442839666817,NA
100 mkM,6.621595649279908,117.64282493444422,NA
100 mkM,6.652209688643538,118.18673040136642,NA
100 mkM,6.397669131807149,113.66442614833102,NA
10 mkM,0.9026361832571045,16.03671926085646,33.95193569553806
10 mkM,0.7301983900057185,12.97309680517831,28.19788960390104
10 mkM,0.8360126569848787,14.853049907894512,30.98398729570568
50 mkM,4.7158683932546905,83.78465088877375,179.45877485653276
50 mkM,4.438499608054194,78.85676806899298,172.33328285887342
50 mkM,4.856410781110199,86.28160244034613,177.43068480076352
100 mkM,6.81580708860397,121.09328968143488,254.4482246322984
100 mkM,6.4182348016702875,114.0298068854698,247.4321959755031
100 mkM,6.357132453111479,112.944229741331,240.69008227904095
Tr 10 mkM,0.9477370116586593,15.487899427024116,30.496913385826783
Tr 10 mkM,1.0758208595881007,17.581043126757475,30.93052718221306
Tr 10 mkM,1.0352730505461012,16.918411636477707,32.43948574824374
Tr His 1 mM,0.7352819314258443,12.489301965762715,29.84290293359348
Tr His 1 mM,0.8523691599971531,14.4781142722553,32.723446931120996
Tr His 1 mM,0.7532448061304922,12.794414544722004,30.053343518627333
Tr Gln 5 mM,0.8138351589012021,13.402925697479391,29.712051347179617
Tr Gln 5 mM,0.8757418153023674,14.422456872618673,34.063260558339294
Tr Gln 5 mM,0.98104785445976594,16.156725787994706,36.34081552305961
Tr 10 mkM,1.1645558808769023,19.031149082808057,31.47960911136107
Tr 10 mkM,1.1217368827356795,18.331401865363684,32.01637488937801
Tr 10 mkM,1.025526464182224,16.75913311563958,28.237385967738675
Tr His 1 mM,0.8683877635306987,14.750201981812271,29.372079781349637
Tr His 1 mM,0.9241131458975484,15.69673840245784,30.275327518327444
Tr His 1 mM,0.8937941674219676,15.181748354027444,29.492555316713
Tr Gln 5 mM,0.9994654332206572,16.460042051687445,27.732967534116884
Tr Gln 5 mM,0.5772259349989142,9.506244886119148,19.165906293351043
Tr Gln 5 mM,0.9225719281990676,15.193694778347002,30.04662053112926
100 mkM,5.530551413068093,54.26490311826933,120.91285199519548
100 mkM,5.912784905972553,58.0153182056343,141.4321639114482
100 mkM,5.9734364160104025,58.61042131025489,143.4138804938539
100 mkM His 0.5 mM,5.270150059587563,51.70988587620954,121.5557722958346
100 mkM His 0.5 mM,5.904036355230737,57.929478797775595,144.86378857815183
100 mkM His 0.5 mM,5.298946392066714,51.99243097441625,118.29562443935012
100 mkM His 1 mM,4.444502655828237,43.6087630353687,107.26823380654062
100 mkM His 1 mM,4.570315357779641,44.84321753592876,114.77585301837274
100 mkM His 1 mM,3.475795472090053,34.10396006919169,82.97537275925616
10 mkM,0.5844878300361207,10.384324731868851,24.36145275590551
10 mkM,0.6259520651665232,11.121000604702774,25.254380178917422
10 mkM,0.6634168415246171,11.786619944775683,27.519513426206338
His 0.5 mM,0.9564597265502747,16.992977241012426,39.35559871487636
His 0.5 mM,0.9207722117557391,16.358933684490587,37.29127457610743
His 0.5 mM,0.9343930997721149,16.600929697118815,36.50767833014956
His 1 mM,0.7164467674178223,12.728778091931549,30.248625383691444
His 1 mM,0.6801036720598961,12.083087138991331,27.050740039074064
His 1 mM,0.7501760357357021,13.328030389724566,28.98276261140434
10 mkM,0.7890280401735269,14.018295968977856,32.396157113013935
10 mkM,0.7826302934608218,13.90463016448562,32.019685039370074
10 mkM,0.72854653131067,12.943748996346288,28.963960355246293
Gln 1 mM,1.1297484078587925,20.071717030947436,43.82482365485565
Gln 1 mM,0.987340530392924,17.54162218895496,38.93242766196779
Gln 1 mM,0.9720522603253686,17.270002571211688,36.54317475021504
Gln 5 mM,1.0443011717374528,18.553615538107408,37.95598379813474
Gln 5 mM,1.0786735843195898,19.164294282348543,42.61876527287538
Gln 5 mM,1.0394017917958407,18.466570522481742,38.65094402866824
100 mkM,9.363247496674804,166.35248426698723,339.70753655793015
100 mkM,8.604866205272863,152.8786748978424,332.13372918549106
100 mkM,9.125338360193746,162.12566276114833,326.7586845761926
100 mkM His 0.5 mM,8.234744295931488,146.30289025448613,309.4996971532404
100 mkM His 0.5 mM,8.35660267850539,148.46789173256568,311.1888791678818
100 mkM His 0.5 mM,8.294999960686706,147.37342475939468,300.2523479745754
100 mkM His 1 mM,6.664738336279394,118.40932108472396,270.88936463587214
100 mkM His 1 mM,6.271904536523101,111.43002479711572,262.1783444582119
100 mkM His 1 mM,5.368602757395947,95.38148020252329,219.70943772873463
10 mkM,0.9363427692425179,16.423272109801733,36.629018628768954
10 mkM,1.0586735280839064,18.568930095152503,39.659539090527886
10 mkM,0.9440873674294744,16.559110872681654,35.60890626685363
His 1 mM,0.8102887926601834,14.212309601265442,32.700116091257826
His 1 mM,0.7987047262038919,14.009127303287526,29.869741522011456
His 1 mM,0.8355834410797587,14.655972870275916,32.427341335198435
Gln 5 mM,1.1826441106917802,20.743350274022312,44.94426673228346
Gln 5 mM,0.9089241607175806,15.942354988989813,36.626192066181595
Gln 5 mM,0.972582963295114,17.058918144340232,38.37790014933478
10 mkM,0.6530578743280513,11.60257696949377,21.980469765308467
10 mkM,0.6602440282914626,11.730250040675864,22.687941090697
10 mkM,0.6074837025740945,10.792881755053113,22.21941024821136
His 1 mM,0.8239523394912175,14.638779829395398,30.243897637795275
His 1 mM,0.7406362481365171,13.158541399172153,25.696566893585256
His 1 mM,0.7770383220692878,13.80528019715196,29.250511811023625
Gln 5 mM,0.7781280856773931,13.824641522753623,29.74275062684203
Gln 5 mM,0.6787684760378211,12.05936532929502,26.149445587660075
Gln 5 mM,0.981487907615898,17.43764134910409,35.872299361633424
