Variant;FW.root;FW.shoot;DW.root;DW.shoot;hydration.root;hydration.shoot;treatment
Control;1,2140;1,8552;0,0766000000000000;0,186400000000000;14,8485639686684;8,95278969957081;Control
Control;1,1871;1,7429;0,0744000000000000;0,168500000000000;14,9556451612903;9,34362017804154;Control
Control;1,3121;1,9180;0,0807000000000000;0,183700000000000;15,2589838909542;9,44093630919978;Control
Control;1,2592;1,8807;0,0768000000000000;0,185800000000000;15,3958333333333;9,12217438105490;Control
Control;1,4922;2,2606;0,0910000000000000;0,220600000000000;15,3978021978022;9,24750679963735;Control
Control;1,5013;2,2095;0,0933000000000000;0,219300000000000;15,0911039657020;9,07523939808481;Control
Control;1,4593;2,2956;0,0933000000000000;0,228000000000000;14,6409431939979;9,06842105263158;Control
Control;1,4664;2,2076;0,0787000000000000;0,224000000000000;17,6327827191868;8,85535714285714;Control
Control;1,5470;2,3283;0,0872000000000000;0,244000000000000;16,7408256880734;8,54221311475410;Control
Control;1,6162;2,3830;0,0907000000000000;0,246700000000000;16,8191841234840;8,65950547223348;Control
Control;1,0415;1,5452;0,0584000000000000;0,151400000000000;16,8339041095890;9,20607661822985;Control
Control;1,2405;1,9360;0,0735000000000000;0,197200000000000;15,8775510204082;8,81744421906694;Control
Control;1,0484;1,7463;0,0603000000000000;0,169900000000000;16,3864013266998;9,27839905826957;Control
Control;1,1066;1,7271;0,0670000000000000;0,175400000000000;15,5164179104478;8,84663625997720;Control
Control;1,1644;1,9091;0,0720000000000000;0,196800000000000;15,1722222222222;8,70071138211382;Control
Control;1,2077;1,9044;0,0742000000000000;0,193500000000000;15,2762803234501;8,84186046511628;Control
Control;1,4520;2,2629;0,0817000000000000;0,224200000000000;16,7723378212974;9,09322033898305;Control
Control;1,4768;2,2532;0,0788000000000000;0,225800000000000;17,7411167512690;8,97874224977857;Control
Control;1,6512;2,2524;0,0885000000000000;0,226100000000000;17,6576271186441;8,96196373286157;Control
Gln 1 mM;1,3152;2,0775;0,0844000000000000;0,210200000000000;14,5829383886256;8,88344433872502;Gln 1 mM
Gln 1 mM;1,1788;2,0241;0,0786000000000000;0,202300000000000;13,9974554707379;9,00543746910529;Gln 1 mM
Gln 1 mM;1,3704;2,2727;0,0900000000000000;0,230700000000000;14,2266666666667;8,85132206328565;Gln 1 mM
Gln 1 mM;1,5460;2,3681;0,0922000000000000;0,248600000000000;15,7678958785249;8,52574416733709;Gln 1 mM
Gln 1 mM;1,3058;2,1077;0,0785000000000000;0,214400000000000;15,6343949044586;8,83069029850746;Gln 1 mM
Gln 1 mM;1,4868;2,3602;0,0871000000000000;0,241900000000000;16,0700344431688;8,75692434890450;Gln 1 mM
Gln 1 mM;1,1980;2,1129;0,0808000000000000;0,222700000000000;13,8267326732673;8,48765154916928;Gln 1 mM
Gln 1 mM;1,1641;2,0798;0,0751000000000000;0,219700000000000;14,5006657789614;8,46654528903050;Gln 1 mM
